IATA,ICAO,NAME
E4,RSO,[Aero Asia International](https://airlinecodes.info/E4)
E5,BRZ,[Samara Airlines](https://airlinecodes.info/E5)
E7,ESF,[Estafeta Carga Aerea](https://airlinecodes.info/E7)
E7,EAF,[European Aviation Air Charter](https://airlinecodes.info/E7)
E8,ELG,[Alpi Eagles](https://airlinecodes.info/E8)
E9,CXS,[Boston-Maine Airways](https://airlinecodes.info/E9)
EA,EAL,[Eastern Air Lines](https://airlinecodes.info/EA)
EC,EJU,[easyJet Europe](https://airlinecodes.info/EC)
ED,ABQ,[Airblue](https://airlinecodes.info/ED)
EE,EAY,[Aero Airlines](https://airlinecodes.info/EE)
EF,EFA,[Far Eastern Air Transport](https://airlinecodes.info/EF)
EG,JAA,[Japan Asia Airways](https://airlinecodes.info/EG)
EH,AKX,[ANA Wings](https://airlinecodes.info/EH)
EI,EIN,[Aer Lingus](https://airlinecodes.info/EI)
EJ,NEA,[New England Airlines](https://airlinecodes.info/EJ)
EK,UAE,[Emirates](https://airlinecodes.info/EK)
EL,ANK,[Air Nippon](https://airlinecodes.info/EL)
EM,CFS,[Empire Airlines](https://airlinecodes.info/EM)
EN,DLA,[Air Dolomiti](https://airlinecodes.info/EN)
EO,ALX,[Hewa Bora Airways](https://airlinecodes.info/EO)
EO,LHN,[Express One International](https://airlinecodes.info/EO)
EP,IRC,[Iran Aseman Airlines](https://airlinecodes.info/EP)
EQ,TAE,[TAME](https://airlinecodes.info/EQ)
ER,DHL,[Astar Air Cargo](https://airlinecodes.info/ER)
ES,DHX,[DHL International](https://airlinecodes.info/ES)
ET,ETH,[Ethiopian Airlines](https://airlinecodes.info/ET)
EU,EEA,[Ecuatoriana](https://airlinecodes.info/EU)
EV,ASQ,[ExpressJet](https://airlinecodes.info/EV)
EW,EWG,[Eurowings](https://airlinecodes.info/EW)
EX,SDO,[Air Santo Domingo](https://airlinecodes.info/EX)
EY,ETD,[Etihad Airways](https://airlinecodes.info/EY)
EZ,EIA,[Evergreen International Airlines](https://airlinecodes.info/EZ)
EZ,SUS,[Sun Air of Scandinavia](https://airlinecodes.info/EZ)
F2,FLM,[Fly Air](https://airlinecodes.info/F2)
F3,FSW,[Faso Airways](https://airlinecodes.info/F3)
F4,NBK,[Albarka Air](https://airlinecodes.info/F4)
F5,COZ,[Cosmic Air](https://airlinecodes.info/F5)
F6,RCK,[Faroejet](https://airlinecodes.info/F6)
F7,BBO,[Flybaboo](https://airlinecodes.info/F7)
F9,FFT,[Frontier Airlines](https://airlinecodes.info/F9)
FA,SFR,[Safair](https://airlinecodes.info/FA)
FB,LZB,[Bulgaria Air](https://airlinecodes.info/FB)
FC,WBA,[Finncomm Airlines](https://airlinecodes.info/FC)
FD,AIQ,[Thai AirAsia](https://airlinecodes.info/FD)
FE,WCP,[Primaris Airlines](https://airlinecodes.info/FE)
FG,AFG,[Ariana Afghan Airlines](https://airlinecodes.info/FG)
FH,FHY,[Freebird Airlines](https://airlinecodes.info/FH)
FI,ICE,[Icelandair](https://airlinecodes.info/FI)
FJ,FJI,[Fiji Airways](https://airlinecodes.info/FJ)
FK,WTA,[Africa West](https://airlinecodes.info/FK)
FL,TRS,[AirTran Airways](https://airlinecodes.info/FL)
FM,CSH,[Shanghai Airlines](https://airlinecodes.info/FM)
FO,ATM,[Airlines Of Tasmania](https://airlinecodes.info/FO)
FP,FRE,[Freedom Air](https://airlinecodes.info/FP)
FR,RYR,[Ryanair](https://airlinecodes.info/FR)
FS,FOX,[Flyr](https://airlinecodes.info/FS)
FT,SRH,[Siem Reap Airways](https://airlinecodes.info/FT)
FV,PLK,[Pulkovo Aviation Enterprise](https://airlinecodes.info/FV)
FV,SDM,[Rossiya](https://airlinecodes.info/FV)
FW,IBX,[Ibex Airlines](https://airlinecodes.info/FW)
FX,FDX,[FedEx Express](https://airlinecodes.info/FX)
FY,NWR,[Northwest Regional Airlines](https://airlinecodes.info/FY)
FY,FFM,[Firefly](https://airlinecodes.info/FY)
FZ,FDB,[Flydubai](https://airlinecodes.info/FZ)
G0,GHB,[Ghana International Airlines](https://airlinecodes.info/G0)
G2,VXG,[Avirex](https://airlinecodes.info/G2)
G3,GLO,[GOL Linhas Aéreas Inteligentes](https://airlinecodes.info/G3)
G4,AAY,[Allegiant Air](https://airlinecodes.info/G4)
G5,HXA,[China Express Airlines](https://airlinecodes.info/G5)
G6,BSR,[Guine Bissaur Airlines](https://airlinecodes.info/G6)
G7,GJS,[GoJet Airlines](https://airlinecodes.info/G7)
G8,GOW,[GoAir](https://airlinecodes.info/G8)
G9,ABY,[Air Arabia](https://airlinecodes.info/G9)
GA,GIA,[Garuda Indonesia](https://airlinecodes.info/GA)
GB,ABX,[ABX Air](https://airlinecodes.info/GB)
GC,GNR,[Gambia International Airlines](https://airlinecodes.info/GC)
GD,AHA,[Air Alpha Greenland](https://airlinecodes.info/GD)
GE,TNA,[TransAsia Airways](https://airlinecodes.info/GE)
GF,GFA,[Gulf Air](https://airlinecodes.info/GF)
GG,HAH,[Air Comores International](https://airlinecodes.info/GG)
GG,GUY,[Air Guyane](https://airlinecodes.info/GG)
GG,GGC,[Cargo 360](https://airlinecodes.info/GG)
GH,GHA,[Ghana Airways](https://airlinecodes.info/GH)
GI,LHA,[Longhao Airlines](https://airlinecodes.info/GI)
GJ,EEU,[Eurofly Service](https://airlinecodes.info/GJ)
GJ,MXC,[Compania Mexicargo](https://airlinecodes.info/GJ)
GK,JJP,[Jetstar Japan](https://airlinecodes.info/GK)
GL,BSK,[Miami Air International](https://airlinecodes.info/GL)
GL,GRL,[Air Greenland](https://airlinecodes.info/GL)
GM,SVK,[Air Slovakia](https://airlinecodes.info/GM)
GN,AGN,[Air Gabon](https://airlinecodes.info/GN)
GO,KZU,[Kuzu Airlines Cargo](https://airlinecodes.info/GO)
GP,GES,[Gestair](https://airlinecodes.info/GP)
GP,PTP,[Palau Trans Pacific Airline](https://airlinecodes.info/GP)
GQ,BSY,[Big Sky Airlines](https://airlinecodes.info/GQ)
GR,AUR,[Aurigny Air Services](https://airlinecodes.info/GR)
GR,GCO,[Gemini Air Cargo](https://airlinecodes.info/GR)
GS,GCR,[Tianjin Airlines](https://airlinecodes.info/GS)
GT,GBL,[GB Airways](https://airlinecodes.info/GT)
GV,GUN,[Grant Aviation](https://airlinecodes.info/GV)
GW,KIL,[Kuban Airlines](https://airlinecodes.info/GW)
GX,JXX,[Jetx Airlines](https://airlinecodes.info/GX)
GY,TMG,[Tri-MG Intra Asia Airlines](https://airlinecodes.info/GY)
GZ,RAR,[Rotation International Air Services](https://airlinecodes.info/GZ)
H2,SKU,[Sky Airline](https://airlinecodes.info/H2)
H5,MVL,[Mavial Magadan Airlines](https://airlinecodes.info/H5)
H5,HOA,[Hola Airlines](https://airlinecodes.info/H5)
H6,HAG,[Hageland Aviation Services](https://airlinecodes.info/H6)
H8,KHB,[Dalavia](https://airlinecodes.info/H8)
H9,IZM,[Izair](https://airlinecodes.info/H9)
HA,HAL,[Hawaiian Airlines](https://airlinecodes.info/HA)
HB,HGB,[Greater Bay Airlines](https://airlinecodes.info/HB)
HC,ATI,[Aero-Tropics Air Services](https://airlinecodes.info/HC)
HD,ADO,[Air Do](https://airlinecodes.info/HD)
HE,LGW,[Luftfahrtgesellschaft Walter](https://airlinecodes.info/HE)
HG,NLY,[Niki](https://airlinecodes.info/HG)
HJ,AXF,[Asian Express Airlines](https://airlinecodes.info/HJ)
HK,FSC,[Four Star Cargo](https://airlinecodes.info/HK)
HM,SEY,[Air Seychelles](https://airlinecodes.info/HM)
HN,HVY,[Heavylift Cargo Airlines](https://airlinecodes.info/HN)
HO,DKH,[Juneyao Airlines](https://airlinecodes.info/HO)
HP,HPA,[Pearl Airways](https://airlinecodes.info/HP)
HQ,TCW,[Thomas Cook Airlines Belgium](https://airlinecodes.info/HQ)
HR,HHN,[Hahn Air](https://airlinecodes.info/HR)
HT,AHW,[Aeromist-Kharkiv](https://airlinecodes.info/HT)
HU,CHH,[Hainan Airlines](https://airlinecodes.info/HU)
HV,TRA,[Transavia](https://airlinecodes.info/HV)
HW,NWL,[North-Wright Airways](https://airlinecodes.info/HW)
HW,FHE,[Hello](https://airlinecodes.info/HW)
HX,CRK,[Hong Kong Airlines](https://airlinecodes.info/HX)
HY,UZB,[Uzbekistan Airways](https://airlinecodes.info/HY)
HZ,SOZ,[Sat Airlines](https://airlinecodes.info/HZ)
I2,IBS,[Iberia Express](https://airlinecodes.info/I2)
I4,FWA,[Interstate Airline](https://airlinecodes.info/I4)
I5,IAD,[AirAsia India](https://airlinecodes.info/I5)
I6,SEQ,[Sky Eyes](https://airlinecodes.info/I6)
I7,PMW,[Paramount Airways](https://airlinecodes.info/I7)
I9,HLF,[Central Airlines](https://airlinecodes.info/I9)
IA,IAW,[Iraqi Airways](https://airlinecodes.info/IA)
IB,IBE,[Iberia Airlines](https://airlinecodes.info/IB)
IC,IAC,[Indian Airlines](https://airlinecodes.info/IC)
ID,ITK,[Interlink Airlines](https://airlinecodes.info/ID)
IE,SOL,[Solomon Airlines](https://airlinecodes.info/IE)
IF,ISW,[Islas Airways](https://airlinecodes.info/IF)
IG,ISS,[Air Italy](https://airlinecodes.info/IG)
II,CSQ,[IBC Airways](https://airlinecodes.info/II)
IJ,GWL,[Great Wall Airlines](https://airlinecodes.info/IJ)
IK,ITX,[Imair Airlines](https://airlinecodes.info/IK)
IK,LKN,[Lankair](https://airlinecodes.info/IK)
IM,MNJ,[Menajet](https://airlinecodes.info/IM)
IN,MAK,[MAT Macedonian Airlines](https://airlinecodes.info/IN)
IO,IAA,[Indonesian Airlines](https://airlinecodes.info/IO)
IP,JOL,[Atyrau Air Ways](https://airlinecodes.info/IP)
IQ,AUB,[Augsburg Airways](https://airlinecodes.info/IQ)
IR,IRA,[Iran Air](https://airlinecodes.info/IR)
IT,TTW,[Tigerair Taiwan](https://airlinecodes.info/IT)
IV,JET,[Wind Jet](https://airlinecodes.info/IV)
IV,CPN,[Caspian Airlines](https://airlinecodes.info/IV)
IW,AOM,[AOM French Airlines](https://airlinecodes.info/IW)
IX,AXB,[Air India Express](https://airlinecodes.info/IX)
IY,IYE,[Yemenia](https://airlinecodes.info/IY)
IZ,AIZ,[Arkia Israel Airlines](https://airlinecodes.info/IZ)
J2,AHY,[Azerbaijan Airlines](https://airlinecodes.info/J2)
J3,PLR,[Northwestern Air](https://airlinecodes.info/J3)
J4,BFL,[Buffalo Airways](https://airlinecodes.info/J4)
J6,VCR,[Cruiser Linhas Aéreas](https://airlinecodes.info/J6)
J7,CVC,[Centre-Avia](https://airlinecodes.info/J7)
J8,BVT,[Berjaya Air](https://airlinecodes.info/J8)
J9,JZR,[Jazeera Airways](https://airlinecodes.info/J9)
JB,JBA,[Helijet](https://airlinecodes.info/JB)
JC,JEX,[JAL Express](https://airlinecodes.info/JC)
JE,MNO,[Mango](https://airlinecodes.info/JE)
JF,LAB,[L.A.B. Flying Service](https://airlinecodes.info/JF)
JH,FDA,[Fuji Dream Airlines](https://airlinecodes.info/JH)
JI,MDW,[Midway Airlines](https://airlinecodes.info/JI)
JJ,AGX,[Aviogenex](https://airlinecodes.info/JJ)
JJ,TAM,[TAM Brazilian Airlines](https://airlinecodes.info/JJ)
JK,JKK,[Spanair](https://airlinecodes.info/JK)
JL,JAL,[Japan Airlines](https://airlinecodes.info/JL)
JM,AJM,[Air Jamaica](https://airlinecodes.info/JM)
JN,XLA,[Excel Airways](https://airlinecodes.info/JN)
JO,JAZ,[JALways](https://airlinecodes.info/JO)
JP,ADR,[Adria Airways](https://airlinecodes.info/JP)
JQ,JST,[Jetstar Airways](https://airlinecodes.info/JQ)
JR,SER,[Aero California](https://airlinecodes.info/JR)
JT,LNI,[Lion Air](https://airlinecodes.info/JT)
JU,JAT,[Jat Airways](https://airlinecodes.info/JU)
JU,ASL,[Air Serbia](https://airlinecodes.info/JU)
JV,BLS,[Bearskin Lake Air Service](https://airlinecodes.info/JV)
JW,VNL,[Vanilla Air](https://airlinecodes.info/JW)
JX,SJX,[STARLUX Airlines](https://airlinecodes.info/JX)
JY,TCI,[Air Turks and Caicos](https://airlinecodes.info/JY)
JZ,SKX,[Skyways Express](https://airlinecodes.info/JZ)
K2,ELO,[Eurolot](https://airlinecodes.info/K2)
K4,CKS,[Kalitta Air](https://airlinecodes.info/K4)
K5,ABE,[Aban Air](https://airlinecodes.info/K5)
K5,WAK,[Wings of Alaska](https://airlinecodes.info/K5)
K6,KZW,[Khalifa Airways](https://airlinecodes.info/K6)
K8,ZAK,[Airlink Zambia](https://airlinecodes.info/K8)
K9,KRI,[Krylo Airlines](https://airlinecodes.info/K9)
KA,HDA,[Cathay Dragon](https://airlinecodes.info/KA)
KB,DRK,[Druk Air](https://airlinecodes.info/KB)
KC,KZR,[Air Astana](https://airlinecodes.info/KC)
KD,WGN,[Western Global Airlines](https://airlinecodes.info/KD)
KE,KAL,[Korean Air](https://airlinecodes.info/KE)
KF,BLF,[Blue1](https://airlinecodes.info/KF)
KG,LYM,[Key Lime Air](https://airlinecodes.info/KG)
KH,AAH,[Aloha Air Cargo](https://airlinecodes.info/KH)
KI,DHI,[Adam Air](https://airlinecodes.info/KI)
KI,SKZ,[Skyway Enterprises](https://airlinecodes.info/KI)
KJ,LAJ,[British Mediterranean Airways](https://airlinecodes.info/KJ)
KK,KKK,[Atlasjet](https://airlinecodes.info/KK)
KL,KLM,[KLM Royal Dutch Airlines](https://airlinecodes.info/KL)
KM,AMC,[Air Malta](https://airlinecodes.info/KM)
KN,CUA,[China United Airlines](https://airlinecodes.info/KN)
KO,AER,[Alaska Central Express](https://airlinecodes.info/KO)
KP,KIA,[Kiwi International Air Lines](https://airlinecodes.info/KP)
KQ,KQA,[Kenya Airways](https://airlinecodes.info/KQ)
KR,CWK,[Comores Airlines](https://airlinecodes.info/KR)
KS,PEN,[Peninsula Airways](https://airlinecodes.info/KS)
KU,KAC,[Kuwait Airways](https://airlinecodes.info/KU)
KV,SKV,[Sky Regional Airlines](https://airlinecodes.info/KV)
KX,CAY,[Cayman Airways](https://airlinecodes.info/KX)
KZ,NCA,[Nippon Cargo Airlines](https://airlinecodes.info/KZ)
L1,TTL,[Total Linhas Aéreas](https://airlinecodes.info/L1)
L2,LYC,[Lynden Air Cargo](https://airlinecodes.info/L2)
L3,LTO,[LTU Austria](https://airlinecodes.info/L3)
L3,JOS,[DHL de Guatemala](https://airlinecodes.info/L3)
L5,LTR,[Lufttransport](https://airlinecodes.info/L5)
L6,VNZ,[Tbilaviamsheni](https://airlinecodes.info/L6)
L7,LPN,[Laoag International Airlines](https://airlinecodes.info/L7)
L7,LNP,[Linea Aerea SAPSA](https://airlinecodes.info/L7)
L8,LXG,[Air Luxor GB](https://airlinecodes.info/L8)
L9,TLW,[Teamline Air](https://airlinecodes.info/L9)
LA,LAN,[LATAM Chile](https://airlinecodes.info/LA)
LB,LLB,[Lloyd Aéreo Boliviano](https://airlinecodes.info/LB)
LD,TUY,[Linea Turistica Aerotuy](https://airlinecodes.info/LD)
LD,AHK,[Air Hong Kong](https://airlinecodes.info/LD)
LE,NSW,[Norwegian Air Sweden](https://airlinecodes.info/LE)
LF,VTE,[Contour Airlines](https://airlinecodes.info/LF)
LG,LGL,[Luxair](https://airlinecodes.info/LG)
LH,DLH,[Lufthansa](https://airlinecodes.info/LH)
LH,GEC,[Lufthansa Cargo](https://airlinecodes.info/LH)
LI,LIA,[Leeward Islands Air Transport](https://airlinecodes.info/LI)
LJ,JNA,[Jin Air](https://airlinecodes.info/LJ)
LK,LXR,[Air Luxor](https://airlinecodes.info/LK)
LL,GRO,[Allegro](https://airlinecodes.info/LL)
LN,LAA,[Libyan Arab Airlines](https://airlinecodes.info/LN)
LO,LOT,[LOT Polish Airlines](https://airlinecodes.info/LO)
LP,LPE,[LAN Peru](https://airlinecodes.info/LP)
LQ,LAQ,[Lebanese Air Transport](https://airlinecodes.info/LQ)
LR,LRC,[LACSA](https://airlinecodes.info/LR)
LS,EXS,[Jet2.com](https://airlinecodes.info/LS)
LT,LTU,[LTU International](https://airlinecodes.info/LT)
LU,LXP,[LAN Express](https://airlinecodes.info/LU)
LV,LBC,[Albanian Airlines](https://airlinecodes.info/LV)
LW,NMI,[Pacific Wings](https://airlinecodes.info/LW)
LX,SWR,[Swiss International Air Lines](https://airlinecodes.info/LX)
LY,ELY,[El Al Israel Airlines](https://airlinecodes.info/LY)
LZ,LBY,[Belle Air](https://airlinecodes.info/LZ)
M2,MZS,[Mahfooz Aviation](https://airlinecodes.info/M2)
M3,TUS,[ABSA - Aerolinhas Brasileiras](https://airlinecodes.info/M3)
M3,SPJ,[Air Service](https://airlinecodes.info/M3)
M3,NFA,[North Flying](https://airlinecodes.info/M3)
M4,NOV,[Nova Airline](https://airlinecodes.info/M4)
M5,KEN,[Kenmore Air](https://airlinecodes.info/M5)
M6,AJT,[Amerijet International](https://airlinecodes.info/M6)
M7,MAA,[MasAir](https://airlinecodes.info/M7)
M9,MSI,[Motor Sich](https://airlinecodes.info/M9)
MA,MAH,[Malév Hungarian Airlines](https://airlinecodes.info/MA)
MB,MNB,[MNG Airlines](https://airlinecodes.info/MB)
MB,EXA,[Execair Aviation](https://airlinecodes.info/MB)
MC,RCH,[Air Mobility Command](https://airlinecodes.info/MC)
MD,MDG,[Air Madagascar](https://airlinecodes.info/MD)
ME,MEA,[Middle East Airlines](https://airlinecodes.info/ME)
MF,CXA,[XiamenAir](https://airlinecodes.info/MF)
MG,CCP,[Champion Air](https://airlinecodes.info/MG)
MH,MAS,[Malaysia Airlines](https://airlinecodes.info/MH)
MI,SLK,[SilkAir](https://airlinecodes.info/MI)
MJ,LPR,[Líneas Aéreas Privadas Argentinas](https://airlinecodes.info/MJ)
MK,MAU,[Air Mauritius](https://airlinecodes.info/MK)
MM,APJ,[Peach](https://airlinecodes.info/MM)
MN,CAW,[Comair](https://airlinecodes.info/MN)
MO,CAV,[Calm Air](https://airlinecodes.info/MO)
MO,AUH,[Abu Dhabi Amiri Flight](https://airlinecodes.info/MO)
MP,MPH,[Martinair](https://airlinecodes.info/MP)
MQ,EGF,[American Eagle Airlines](https://airlinecodes.info/MQ)
MQ,ENY,[Envoy Air](https://airlinecodes.info/MQ)
MR,MRT,[Air Mauritanie](https://airlinecodes.info/MR)
MS,MSR,[EgyptAir](https://airlinecodes.info/MS)
MT,TCX,[Thomas Cook Airlines](https://airlinecodes.info/MT)
MU,CES,[China Eastern Airlines](https://airlinecodes.info/MU)
MV,RML,[Armenian International Airways](https://airlinecodes.info/MV)
MW,MYD,[Maya Island Air](https://airlinecodes.info/MW)
MX,MXA,[Mexicana de Aviación](https://airlinecodes.info/MX)
MY,MWA,[Midwest Airlines](https://airlinecodes.info/MY)
MZ,MNA,[Merpati Nusantara Airlines](https://airlinecodes.info/MZ)
N2,QNK,[Kabo Air](https://airlinecodes.info/N2)
N2,DAG,[Dagestan Airlines](https://airlinecodes.info/N2)
N3,OMS,[Omskavia Airline](https://airlinecodes.info/N3)
N4,MTC,[Mountain Air Company](https://airlinecodes.info/N4)
